Certification Course,Gender,Department,Height(CM),Weight(KG),10th Mark,12th Mark,college mark,hobbies,daily studing time,prefer to study in,salary expectation,Do you like your degree?,career_willing,social medai & video,Travelling Time,Stress Level,Financial Status,part-time job
Yes,Male,Mechanical,158,77,57,50,81,Gaming,1-2 hrs,Evening,5-8 LPA,Yes,50%,1-3 hrs,1-2 hrs,High,Good,No
No,Female,Civil,173,79,86,94,89,Sports,1-2 hrs,Evening,5-8 LPA,No,75%,<1 hr,<30 min,Low,Good,Yes
Yes,Male,CS,169,74,74,60,67,Music,<1 hr,Evening,<3 LPA,Yes,50%,1-3 hrs,<30 min,Low,Poor,Yes
Yes,Female,Civil,189,56,74,60,74,Gaming,1-2 hrs,Night,3-5 LPA,Yes,50%,<1 hr,<30 min,Medium,Good,No
Yes,Female,CS,188,63,79,68,86,Gaming,2-4 hrs,Night,5-8 LPA,No,25%,1-3 hrs,1-2 hrs,High,Good,Yes
No,Male,Mechanical,155,84,68,62,68,Music,1-2 hrs,Evening,5-8 LPA,Yes,50%,>5 hrs,<30 min,High,Middle,Yes
Yes,Male,IT,166,67,55,66,86,Gaming,2-4 hrs,Morning,<3 LPA,Yes,50%,1-3 hrs,30-60 min,Low,Poor,Yes
No,Male,ENTC,158,81,71,90,75,Gaming,1-2 hrs,Evening,5-8 LPA,No,25%,<1 hr,<30 min,Medium,Good,Yes
Yes,Male,ENTC,164,69,75,56,78,Sports,>4 hrs,Evening,>8 LPA,Yes,50%,>5 hrs,30-60 min,Low,Good,Yes
Yes,Male,Civil,164,64,74,55,67,Sports,2-4 hrs,Morning,3-5 LPA,Yes,50%,1-3 hrs,<30 min,Medium,Middle,No
Yes,Female,CS,169,83,78,71,89,Music,>4 hrs,Night,3-5 LPA,Yes,25%,<1 hr,<30 min,High,Good,No
No,Male,CS,158,89,72,84,64,Reading,1-2 hrs,Morning,5-8 LPA,Yes,100%,>5 hrs,<30 min,Medium,Good,Yes
Yes,Male,Mechanical,158,50,71,56,71,Gaming,1-2 hrs,Morning,>8 LPA,Yes,50%,3-5 hrs,>2 hrs,Medium,Middle,Yes
Yes,Female,IT,183,75,66,71,88,Sports,>4 hrs,Evening,3-5 LPA,No,50%,>5 hrs,<30 min,Medium,Middle,No
Yes,Female,IT,153,55,82,69,89,Reading,>4 hrs,Morning,3-5 LPA,Yes,50%,1-3 hrs,1-2 hrs,Medium,Middle,No
No,Male,CS,168,56,84,62,67,Music,2-4 hrs,Morning,3-5 LPA,Yes,25%,<1 hr,30-60 min,Medium,Good,No
No,Male,CS,159,65,66,76,80,Gaming,1-2 hrs,Evening,<3 LPA,Yes,75%,1-3 hrs,30-60 min,Medium,Middle,Yes
Yes,Male,CS,189,70,60,66,78,Travelling,>4 hrs,Evening,3-5 LPA,Yes,25%,1-3 hrs,>2 hrs,Low,Middle,No
Yes,Male,CS,150,50,57,91,74,Gaming,1-2 hrs,Morning,3-5 LPA,Yes,100%,>5 hrs,30-60 min,Medium,Middle,Yes
Yes,Male,ENTC,175,81,64,87,78,Gaming,2-4 hrs,Morning,>8 LPA,Yes,75%,>5 hrs,30-60 min,Medium,Good,No
No,Female,Mechanical,162,68,88,55,84,Gaming,1-2 hrs,Morning,3-5 LPA,Yes,75%,1-3 hrs,30-60 min,Low,Good,No
No,Male,ENTC,159,50,78,69,87,Gaming,2-4 hrs,Morning,3-5 LPA,No,50%,1-3 hrs,30-60 min,High,Middle,No
Yes,Male,CS,166,54,91,70,60,Reading,<1 hr,Night,3-5 LPA,Yes,25%,<1 hr,<30 min,Medium,Good,No
Yes,Male,CS,189,49,86,53,89,Travelling,1-2 hrs,Evening,<3 LPA,Yes,50%,3-5 hrs,30-60 min,Medium,Middle,Yes
Yes,Male,ENTC,171,66,55,72,68,Reading,1-2 hrs,Evening,5-8 LPA,Yes,75%,>5 hrs,>2 hrs,Low,Middle,No
Yes,Male,CS,183,52,82,89,63,Reading,1-2 hrs,Morning,<3 LPA,Yes,75%,<1 hr,30-60 min,Low,Good,No
Yes,Male,IT,155,79,80,84,72,Travelling,2-4 hrs,Night,5-8 LPA,Yes,75%,<1 hr,30-60 min,Low,Good,Yes
No,Male,ENTC,180,72,84,75,70,Gaming,<1 hr,Morning,3-5 LPA,Yes,75%,<1 hr,30-60 min,Low,Middle,Yes
Yes,Male,ENTC,173,63,62,60,60,Sports,2-4 hrs,Morning,<3 LPA,Yes,25%,1-3 hrs,1-2 hrs,Medium,Middle,Yes
Yes,Male,IT,171,71,74,68,82,Sports,>4 hrs,Night,3-5 LPA,Yes,50%,1-3 hrs,1-2 hrs,High,Middle,No
No,Male,IT,162,67,94,59,77,Reading,1-2 hrs,Night,>8 LPA,Yes,25%,3-5 hrs,<30 min,High,Middle,Yes
Yes,Male,Mechanical,170,86,65,71,71,Gaming,2-4 hrs,Morning,5-8 LPA,Yes,75%,>5 hrs,>2 hrs,Medium,Middle,No
No,Male,IT,172,89,69,78,79,Sports,2-4 hrs,Morning,5-8 LPA,Yes,75%,3-5 hrs,30-60 min,Medium,Good,No
Yes,Male,CS,189,67,55,81,78,Reading,2-4 hrs,Night,>8 LPA,No,50%,<1 hr,<30 min,Low,Good,Yes
No,Female,Civil,181,54,73,94,63,Reading,2-4 hrs,Evening,<3 LPA,Yes,75%,1-3 hrs,1-2 hrs,High,Middle,No
No,Male,ENTC,157,59,77,67,75,Reading,2-4 hrs,Evening,5-8 LPA,No,50%,>5 hrs,<30 min,Medium,Middle,No
No,Male,CS,150,68,87,82,80,Sports,<1 hr,Evening,>8 LPA,Yes,75%,1-3 hrs,30-60 min,Low,Good,No
Yes,Male,ENTC,179,87,69,58,69,Gaming,2-4 hrs,Morning,>8 LPA,Yes,50%,<1 hr,>2 hrs,Low,Good,Yes
No,Male,CS,166,52,80,70,60,Reading,1-2 hrs,Evening,<3 LPA,No,25%,1-3 hrs,>2 hrs,High,Good,Yes
Yes,Female,Civil,179,52,64,86,76,Reading,<1 hr,Morning,5-8 LPA,Yes,75%,<1 hr,<30 min,Medium,Middle,No
Yes,Male,ENTC,182,82,76,72,81,Sports,2-4 hrs,Evening,<3 LPA,No,50%,1-3 hrs,1-2 hrs,Medium,Poor,No
No,Female,CS,181,89,77,88,79,Sports,<1 hr,Morning,<3 LPA,No,75%,1-3 hrs,1-2 hrs,High,Middle,No
Yes,Male,IT,172,45,81,74,69,Sports,2-4 hrs,Evening,>8 LPA,Yes,75%,>5 hrs,1-2 hrs,High,Good,No
Yes,Male,Mechanical,171,58,60,86,75,Music,1-2 hrs,Morning,<3 LPA,Yes,75%,<1 hr,1-2 hrs,High,Good,Yes
No,Female,Mechanical,169,76,79,82,81,Sports,1-2 hrs,Morning,5-8 LPA,Yes,100%,1-3 hrs,<30 min,Medium,Poor,No
Yes,Female,IT,186,81,84,80,62,Gaming,<1 hr,Morning,3-5 LPA,No,75%,1-3 hrs,30-60 min,Low,Poor,No
Yes,Male,ENTC,187,80,73,68,75,Travelling,2-4 hrs,Morning,3-5 LPA,No,50%,1-3 hrs,<30 min,Low,Good,No
Yes,Male,CS,158,47,76,78,65,Gaming,1-2 hrs,Morning,<3 LPA,No,25%,<1 hr,<30 min,Medium,Good,No
Yes,Female,ENTC,175,89,55,94,65,Gaming,>4 hrs,Night,5-8 LPA,No,75%,3-5 hrs,1-2 hrs,Medium,Middle,Yes
Yes,Male,CS,165,47,67,50,79,Travelling,<1 hr,Evening,3-5 LPA,Yes,25%,<1 hr,<30 min,Low,Middle,No
Yes,Female,ENTC,170,66,87,51,69,Reading,2-4 hrs,Night,3-5 LPA,Yes,75%,3-5 hrs,30-60 min,Medium,Poor,Yes
Yes,Male,Mechanical,162,82,79,91,87,Music,1-2 hrs,Night,<3 LPA,Yes,75%,>5 hrs,30-60 min,High,Good,No
No,Female,IT,171,56,83,72,62,Gaming,2-4 hrs,Evening,3-5 LPA,Yes,100%,<1 hr,<30 min,High,Middle,No
Yes,Female,IT,177,63,67,80,87,Sports,>4 hrs,Morning,3-5 LPA,Yes,25%,1-3 hrs,1-2 hrs,High,Middle,Yes
